"no","sun","ins","kal"
,"ciamis","ciamis",
,"cici","menuangkan",
,"cicing","diam, tinggal",
,"cidra","ingkar janji",
,"ciduh","ludah",
,"cig atau jig",,
,"cigcrig","berlari kecil",
,"cik atau cing",,
,"cikal","sulung",
,"cikeneh","barusan",
,"cikikik","tertawa ditahan",
,"cikruh","banyak mengandung air dan enak",
,"cikur","kencur",
,"cileuh","kotoran mata",
,"cileuk","tidak bisa tidur(malam)",
,"cileureun","lengah",
,"cilimit","suka meminta/menggoda",
,"ciling-cingcat","gelisah karena akan ada yang datang",
,"cindek","pasti, kesimpulan",
,"cindul","bengkak mata karena menangis",
,"cindutrung","jongkok lama di tempat tinggi",
,"cingcet","mengelak",
,"cingir","kelingking",
,"cinyusu","mata air",
,"cipanonna","airmatanya",
,"cipruk","basah kuyup",
,"cirihil","tertawa ditahan sambil cengkrama(anak)",
,"citak","cetak",
,"cium","mencium",
,"clak atau keclak",,
,"cleg atau clag",,
,"cleng","terlempar, melompat",
,"clik","jatuh (barang kecil)",
,"clo","nyimpan/menjatuhkan benda",
,"coba","coba",
,"cobi","coba",
,"cobrok","jorok, gegabah",
,"coceng","kurang",
,"coco","gigit,",
,"cocog","setuju, cocok",
,"cocok","tutup botol/lubang",
,"codeka-codekah",,
,"coer","menggeser/mendahkan  benda dengan tongkat",
,"cohag","kasar sekali",
,"cok","mematuk",
,"cokel","cungkil",
,"cokor","kaki",
,"cokot","ambil",
,"cokrom","kumis tebal",
,"cologog","tidak sopan",
,"colohok","bengong, terheran",
,"colok","colok",
,"combo","menghibur orang sedih",
,"combrek","sepi, dingin",
,"comel","suka nyebarkan rahasia orang lain",
,"condong","miring, cenderung",
,"cong","menyembah",
,"congcay","kurang",
,"congcolang","jauh mendahului yang lain",
,"congcot","nasi tumpeng (kerucut)",
,"conggah","sudah kenal baik/akrab",
,"congo","ujung benda tajam",
,"contona","contohnya",
,"coo","dimainkan",
,"cop","gerak rasa hati",
,"copel","paling tidak",
,"coplok","copot",
,"copong","bolong, lubang",
,"cor","mengucurkan air",
,"corengcang","jarang, luas",
,"corocos","suara benda panas disiram air",
,"corowok","teriak",
,"cos","menusuk, mencocok",
,"cowong","bicara dengan suara keras",
,"crek","berdecak",
,"creng","membayar",
,"cring","suara uang logam",
,"crot","meludah",
,"crub","turun ke dalam air",
,"cua","benci",
,"cuang-cieung","tidak ada sanak saudara",
,"cuci","cuci",
,"cucuk","duri",
,"cucul-cucul","membuka /ganti pakaian",
,"cucungah","kurang ajar",
,"cugak","kaki tertusuk ...",
,"cukcruk","mencari, jalan sepanjang sungai",
,"cul","dibuang/dibiarkan  begitu saja",
,"culangung","kurang ajar tidak tahu adat",
,"culika","jahil, dengki",
,"cumenos","sok tahu",
,"cumpon","memenuhi, mencukupi",
,"cunduk","tiba,sampai, datang",
,"cur","hujan, menuang/mengusu air",
,"curak-curak","suka ria, makan/minum yang enak",
,"cureuleuk","mata yang bersih, bagus",
,"curinghak","sikap waspada",
,"curuk","telunjuk",
,"cutat","mengutip",
,"da","sebab, lantaran",
,"dada","dada, melaksanakan",
,"dadag","tinggi besar",
,"dadak, ngadadak ","dadak, mendadak ",
,"dadampar","alas, dasar",
,"dadar","beber,uraian",
,"dadas","baret, habis sama sekali",
,"daek","mau",
,"daerah","daerah",
,"daerahna","daerahnya",
,"dagang","dagang",
,"dagdagan","mencoba-coba",
,"dagdegdog","tergesa-gesa",
,"dagleg","menempel",
,"dago","menanti",
,"dagor","membenturkan kepala",
,"dahar","makan",
,"dahar","makan",
,"dahdir","iler",
,"dahuan","kakak ipar",
,"dahup","kawin, menikah",
,"dahut","siap sedia,siap-siap",
,"dakep","sedekap tangan di dada",
,"dakom","tengkurap",
,"daksa","cacat tubuh",
,"daku","pura-pura, berdusta",
,"dalah","walaupun, biarpun",
,"dalak","balas dendam",
,"dalingding","harum terbawa angin",
,"dalit","menyatu, karib",
,"dalon","lupa waktu",
,"dalugdag-daligdeg","sempoyongan",
,"dama","dirawat, dipelihara",
,"damang","sehat",
,"damar","lampu",
,"damel","kerja",
,"damelna","bekerjanya",
,"dami","bernapas",
,"damis","pipi",
,"damis","pipi",
,"dampal","kaki, telapak",
,"dangah","tengadah,mendongak",
,"dangdan","berdandan",
,"dangdos","dandan",
,"danget","saat, waktu",
,"dangheuak","punggung condong ke belakang",
,"dangka","tempo, kesempatan",
,"dangkak","tidur membuka kaki lebar",
,"dangong","sikap",
,"dangu","dengar",
,"danten","binatang yang birahi",
,"dapang","telungkup",
,"dar","bunyi petir, pistol",
,"daradad","bercerita panjang lebar",
,"daratan","daratan",
,"darehdeh","ramah",
,"dareuda","bicara tersendat-sendat",
,"daria","serius, sungguh-sungguh",
,"daring","tempat menyimpan beras",
,"dasar","dasar",
,"dasarna","dasarnya",
,"datang","datang",
,"datangna","datangnya",
,"dawam","biasa",
,"daweung","sikap",
,"dawuk","abu-abu",
,"dayagdag","duduk selonjor kaki",
,"dayeuh","ibu kota",
,"deang","berdiang",
,"dedeg","badan yang tegap, kuat",
,"dedegler","memukul tanpa belas kasihan",
,"dedek","dedak",
,"dedel","menjejali",
,"dedet","menjejal barang yang sudah penuh",
,"deet","dangkal",
,"degdegan","menggigil",
,"degig","tidak mau menegur pada yang sudah kenal",
,"dehe","ketiak",
,"dehem","berdehem",
,"dek","bersentuhan, memulai pekerjaan",
,"dekem","mendekam",
,"deker","bekerja sungguh-sungguh",
,"deku","tuur",
,"deleh","lihat",
,"delek","mendelik",
,"deleka","jahil, dengki",
,"demes","pesek",
,"demit","tersembunyi",
,"demokratis","demokratis",
,"dempes","bersembunyi",
,"dempet","menghimpit sambil menekan",
,"dempet","menghimpit sambil menekan",
,"dengdek","miring, condong",
,"denge","mendengar",
,"dengek","menjerit dengan suara nyaring",
,"dengkak","merenggangkan kaki",
,"dengkek","disekap badan lawan agar tidak bisa bergerak",
,"dengkeng","tulang lengkung ke belakang",
,"denok","padat, sintal dan cantik",
,"depa","derum,dekam",
,"depek","rumah yang pendek langit-langitnya",
,"depong","duduk posisi nungging",
,"der","peristiwa yang menggegerkan",
,"deregdeg","lari",
,"derek","saudara, famili",
,"deseh","kalah perang",
,"deui","lagi",
,"deuih","lagi",
,"deukeut","dekat",
,"deukeut-deukeut","dekat-dekat",
,"deungeun","asing",
,"dewek","saya, aku",
,"di mana","di mana",
,"diabusan","dimasuki",
,"diajar","belajar",
,"dialungkeun","dilemparkan",
,"dianggap","dianggap",
,"diangkat","diangkat",
,"diantarana","diantaranya",
,"diantawis","diantara",
,"diayakeun","diadakan",
,"diayakeunana","diadakannya",
,"dibadamikeun","dibicarakan",
,"dibahas","dibahas",
,"dibandingkeun","dibandingkan",
,"dibarengan","disertai",
,"dibarung","disertai",
,"dibeda-bedakeun","dibeda-bedakan",
,"dibedahkeun","dikuras",
,"dibejakeun","diberitahukan",
,"dibenerkeun","dibenarkan",
,"dibere","diberi",
,"dibewarakeun","diumumkan",
,"dibikeun","diberikan",
,"dicandak","diambil",
,"dicatetkeun","dicatatkan",
,"dicindekkeun","ditentukan",
,"diciptakeunana","diciptakannya",
,"dieu","sini",
,"diganjar","dibalas",
,"digaplokan","ditampari",
,"digawe","bekerja",
,"digentos","diganti",
,"dihapunten","dimaafkan",
,"dihijikeun","disatukan",
,"dihuapan","disuapi",
,"diiwalkeun","dikecualikan",
,"dijelaskeun","dijelaskan",
,"dilaksanakeun","dilaksanakan",
,"dilaporkeun","dilaporkan",
,"dilarapkeun","diterapkan",
,"dilelempeng","diluruskan",
,"dimimitian","dimulai",
,"dinamis","dinamis",
,"dines","dinas",
,"dinten","hari",
,"dinyatakeun","dinyatakan",
,"dipahing","dicegah",
,"dipake","dipakai",
,"dipapaesan","dihiasi",
,"diperlukeun","diperlukan",
,"dipiceun","dibuang",
,"dipidangkeun","ditampilkan",
,"dipikaharep","diharapkan",
,"dipilih","dipilih",
,"dipiwanoh","dikenal",
,"dipungkas","diselesaikan",
,"dirarancang","dirancang",
,"dirina","dirinya",
,"dirojong","didukung",
,"dironjatkeun","ditingkatkan",
,"disangkana","disangkanya",
,"disarengan","ditemani",
,"disebut","disebut",
,"disebutna","disebutnya",
,"disembah","disembah",
,"diserat","ditulis",
,"disesakeun","disisakan",
,"diskriminasi","diskriminasi",
,"disusul","disusul",
,"ditahan","ditahan",
,"ditakol","dipukul",
,"ditalungtik","diselidiki",
,"ditambahan","ditambah",
,"ditambih","ditambah",
,"ditangtayungan","dilindungi",
,"ditanyakeun","ditanyakan",
,"ditapsirkeun","ditafsirkan",
,"ditarakolan","dipukuli",
,"ditarekahan","diusahakan",
,"ditarima","diterima",
,"ditaros","ditanyai",
,"ditembrakkeun","ditunjukkan",
,"ditetepkeun","ditetapkan",
,"ditewak","ditangkap",
,"ditibankeunana","ditimpakannya",
,"ditu","sana",
,"ditujukan","ditujukan",
,"ditulis","ditulis",
,"ditunda","disimpan",
,"ditungtungan","diakhiri",
,"diuk","duduk",
,"diuk","duduk",
,"diungkulan","ditanggulangi",
,"diwajibkeun","diwajibkan",
,"diwilah-wilah","dipilah-pilah",
,"diwuwuhan","ditumbuhi",
,"dodoho","mengintip mangsa",
,"dokdak","bekerja keras dengan golok, tatah",
,"dokoh","tidak merasa jijik",
,"dolog","lekas menerima tawaran",
,"dolos","melampiaskan hawa nafsu",
,"domba","domba",
,"dongdon","meninjau",
,"dongkang","menjangkau",
,"dongkap atau dungkap ","datang, tiba ",
,"dongkar","menggali",
,"dongko","membungkuk",
,"doraka","durhaka",
,"dosa","dosa",
,"dosol","pusar yang menonjol",
,"doyong","miring",
,"dudud","jalan cepat",
,"duduk","tidak canggung",
,"duduluran","bersaudara",
,"dudut","mencabut",
,"dug","berbaring",
,"duga","gula setengah matang",
,"dugal","kasar",
,"dugdag","pulang pergi",
,"dugi","tiba, datang",
,"duka","tidak tahu",
,"dulag","menabuh bedug dilagukan",
,"dulur","saudara, keluarga",
,"dumadakan","mendadak",
,"dumasar","berdasarkan",
,"dumeh","karena, lantaran",
,"dumuk","menetap, tinggal",
,"dungdung","jatuh tengkurap",
,"dungkuk","mencuat di atas tanah",
,"dungsang","terlunta-lunta",
,"dunya","dunia",
,"dupak","menyenggol, menabrak",
,"dupi","kalau",
,"duruk","membakar",
,"dusun","kampung",
,"duyung","tergila-gila",
,"ea","suara bayi menangis",
,"eak","tertawa-tawa",
,"ebat","tergoda sedang solat",
,"ebog","berbaring",
,"ebreh","jelas",
,"ecag","turun dari gendongan",
,"ece","menghina",
,"ecer","mengecer",
,"eces","jelas",
,"eceskeun","jelaskan",
,"eclok","meminjam uang sebentar",
,"ecom","berbicara terus",
,"edeg","goyang kaki",
,"ee","berak",
,"egang","jalan kaki agak renggang",
,"ejegeler","berjalan sambil marah-marah",
,"ekeh","repot membawa beban berat",
,"ekol","alasan",
,"eled","sedikit mengalah",
,"elegete","tak mau diam",
,"eleh","kalah",
,"eleketek","tersipu-sipu",
,"elmu","ilmu",
,"elod","mudah tergoda oleh yang lain",
,"emang","paman",
,"emangna","memangnya",
,"embar","pengumuman",
,"embat","panjang",
,"embe","kambing",
,"embi","bibi, tante",
,"emboh","tambah",
,"embun-embunan","ubun-ubun",
,"embung","tidak mau",
,"emet","sedikit sekali",
,"emok","cara duduk wanita sunda",
,"emoy","sangat lunak",
,"emper","teras",
,"empes","gerak napas",
,"emplad","per/panjang",
,"emprak","bertepuk tangan",
,"emprona","pada waktunya",
,"emut","ingat",
,"emutaneun","hal yang perlu dipikirkan",
,"enay","kuning menyala",
,"encan","belum",
,"encer","cair",
,"encod","meminjam uang",
,"endah","indah",
,"endahna","indahnya",
,"endeng","terus menerus",
,"endog","telur",
,"eneng","anak kerbau",
,"engab","menganga",
,"engang","suku kata",
,"engap","nari napas",
,"engeuh","sadar, tahu",
,"enggal","cepat",
,"enggeus atau geus ","sudah ",
,"enggon","tempat, kamar tidur",
,"engkang","kakak laki",
,"engke","nanti",
,"engke-engkean","berjalan dengan sebelah kaki",
,"engkena","nantinya",
,"enod","memanjakan anak",
,"entak","panas/terik matari",
,"entang-entangan","hanya seorang dirimelawan musuh",
,"enteng","mudah, ringan",
,"entep","beres, tata",
,"entet-entetan","keluar sedikit-sedikit",
,"entong","jangan",
,"entrag","lulusan, angkatan",
,"enyaan","betul-betul",
,"epesmeer","cengeng",
,"era","malu",
,"ered","memindahkan barang dengan kaki",
,"ereh","menjajah negara",
,"eret","menarik, porot",
,"erong","bisa diduga",
,"ese","biji, sebuah",
,"eser","geser",
,"esod","mengingsud",
,"esto","mengindahkan",
,"eta","itu",
,"euceuy","warna merah",
,"eumeur","memar",
,"eundeuk","menggoyang pohon",
,"eundeur","bergetar tanah",
,"eungap","sesak napas (asma)",
,"eungkeut-eungkeut","memulai",
,"eunteung","cermin, teladan",
,"eunteup","hinggap",
,"eupan","umpan",
,"eureun","berhenti",
,"eusi","isi",
,"eusina","isinya",
,"euweuh","hilang, tidak ada",
,"euyeub","lengkap, banyak pilihan",
,"fundamental","fundamental",
,"gaaleun","makanan yang sudah keras",
,"gaang","orong-orong, anjing tanah",
,"gabel","menggantung  dan berayun-ayun",
,"gaber","gelambir",
,"gabig","berayun-ayun",
,"gableg","punya",
,"gabrug","merangkul",
,"gabug","mandul",
,"gacel","remas",
,"gadabah","melanggar larangan",
,"gadag","kerja",
,"gadang","cadangan, calon",
,"gadil","menanduk",
,"gado","dagu",
,"gaduh","punya",
,"gaet","kait",
,"gagabah","gegabah,kurang hati-hati",
,"gagalapakan","lari sambil mengepakkan sayap",
,"gagaman","senjata",
,"gagarabah","keramik",
,"gagarubang","susah membawanya",
,"gagas","teringat peristiwa lalu",
,"gahar","rasa makanan/minuman",
,"gahel","ngunyah makanan tidak enak",
,"gaib","gaib",
,"gajlig","beda tidak cocok, ingkar",
,"gakgak","tertawa terbahak-bahak",
,"gaksak","sangat merusak",
,"galagat","gelagat",
,"galancang","loncat di atas pohon",
,"galantang","pidato panjang",
,"galasar","meraba pelan",
,"galayah","membaringkan badan",
,"galek","mengusap pipi yang disayang",
,"galengan","pematang",
,"galentor","menciumi",
,"galeong","oleng",
,"galeuh","beli",
,"galey","mengaduk",
,"galib","lumrah, umum",
,"galideur","tidak tenang",
,"galih","hati",
,"galing","ikal",
,"galo","bercampur",
,"galungan","berkelahi",
,"galura","gelombang besar",
,"gamah","terganggu",
,"gamblang","tanah, rumah luas",
,"gambuh","bisul",
,"gambuhang","rakus",
,"gampang","mudah",
,"gampil","mudah, gampang",
,"gampleng","menabok, menempeleng",
,"gamuleng","tubuh montok dan menggiurkan",
,"ganas","nenas",
,"gancang","cepat, lekas",
,"gandang","cakap sikap dan tingkah laku",
,"gandeng","ribut, berisik",
,"gandes","wanita cantik perlente",
,"gandong","gendong",
,"gandoy","agak menonjol (pipi bengkak)",
,"gandrung","rindu dendam",
,"gandu","bilangan untuk gula kelapa, garam",
,"gangas","kejam bengis",
,"ganggayong","diulur-ulur waktunya",
,"ganjor","selisih (bilangan)",
,"gantar","galah",
,"gantawang","memarahi",
,"gantel","benda kecil yang menggantung",
,"gap","menyentuh/memegang",
,"gapay","meraba, menggapai-gapai",
,"gaplok","menabok, menampar",
,"gapruk","menubruk lawan",
,"gapura","pintu gerbang kota/istana",
,"gapuy","kena tanah (pakaian, jemuran)",
,"garadah","geledah",
,"gara-gara","gara-gara",
,"garah","rusak",
,"garatis","gratis",
,"garawangan","segala dimakan",
,"garayam","merayap pada badan (semut)",
,"garecok","bicara gembira serta tak berhenti",
,"gareuneuk","bengkak-bengkak",
,"gareuwah","ribut yang bisa menggagalkan",
,"garewol","gegabah dalam pekerjaan",
,"garihal","kasar",
,"garing","kering",
,"garo","garuk (gatal)",
,"garokgek","jalan berlubang-lubang",
,"garut","garut",
,"gasik","cepat, lekas",
,"gasruk","mengenai sesuatu yang menggesrek",
,"gateng","terus terang (pelita)",
,"gauk","menangis",
,"gaur","suara harimau, mobil, motor",
,"gawar","menawar/melamar",
,"gawe","bekerja",
,"gawir","tebing",
,"gawok","cepat tergiur urusan belum tentu halal",
,"gayabag","terbang seperti berat",
,"gayem","mamah (makan)",
,"gayer","hujan terus menerus",
,"gayot","menggantung serta tampak terkulai",
,"gebah","menghalau",
,"gebay","menggantung, bergelombang",
,"gebeg","kaget, terperanjat",
,"geber","mengipasi, bergetar agak keras",
,"gebes","hardik",
,"geblang","terbuka lebar (pintu)",
,"gebleg","selembar, sebidang, gila",
,"gebleg","selembar, sebidang, gila",
,"geblug","jatuh",
,"geboy","meliuk-liuk",
,"gebrag","gebrak",
,"gebret","lebat (hujan)",
,"gebro","runtuh karena diinjak/diduduki orang banyak",
,"gebrus","memasukkan/melempar benda besar ke dalam air",
,"gebug","memukul keras-keras",
,"gebut","jatuh",
,"gebyar","cahaya terang benderang",
,"gecek","diremas-remas",
,"gecol","berubah tempat karena alasnya tidak rata/licin",
,"gecos","menusuk",
,"gecruk","mencangkul",
,"gedag","bergerak seperti daun tertiup angin",
,"gedang","pepaya",
,"gede","besar",
,"gedebul","bohong, banyak omong",
,"gedeg","seri",
,"gedena","besarnya",
,"gedeng","samping",
,"geder","ramai banyak orang (gemuruh suara)",
,"geduk","terbentur",
,"gegek","padat penduduknya",
,"gegel","tanda mata",
,"gegel","tanda mata",
,"geger","lereng gunung yang panjang",
,"gegetun","menyesal, kecewa",
,"geheng","hangus sama sekali",
,"gehger","latah, geger",
,"gejed","pakai kain kebaya yang sempit",
,"gejret","benda yang jatuh dan pecah",
,"gek","duduk",
,"gelang","memutar-mutar diantara dua telapak tangan",
,"gelap","petir, geledek",
,"geleber","terbang",
,"gelebug","angin bertiup kencang",
,"geledeg","petir, geledek",
,"geledug","kepala terbentur (jatuh)",
,"geleger","geletar",
,"gelehe","tidur-tiduran",
,"gelek","berdesakan sambil maju  ingin mendapat giliran",
,"gelemeng","terlihat samar-samar",
,"gelempeng","bilangan untuk benda yang bulat dan panjang",
,"gelenceng","patah/lepas",
,"gelendeng","gerutu",
,"gelendut","nasihat yang lemah lembut dan lama",
,"geleng",,
,"gelenye","sikap menarik hati pria (wanita tidak baik-baik)",
,"gelenyu","tersenyum manis",
,"gelo","tertipu,gila",
,"gelo","tertipu,gila",
,"gelong","tertelan dan menyumbat ditenggorokan",
,"gembang","tergoda oleh orang dicintai",
,"gembleng","utuh",
,"gembol",,
,"gembrong","dikerumuni",
,"gembul","rakus, gembul",
,"gemet","sangat teliti",
,"gemi","hemat",
,"gemper","bergelimpangan di lantai",
,"gempor","lumpuh kaki",
,"gempungan","pertemuan, sidang",
,"gemuk","pupuk",
,"genah","enak, senang",
,"genclang","jernih sekali",
,"gendol","buncit",
,"genep","enam",
,"genggerong","tergorokan",
,"genjah","cepat besar",
,"gentak","tiba-tiba",
,"gentos","ganti",
,"gentra","suara",
,"geol","goyang pinggul",
,"gep","menggigit",
,"gepek","dikerjakan terburu-buru",
,"gepeng","pipih",
,"gepluk","jatuh (benda kecil)",
,"gepor","duduk dilantai tidak pakai alas",
,"gepyak","ramah pandai bicara",
,"ger","perang, hujan, tertawa, bersorak",
,"gerah","gembira, suka cita",
,"gerebeg","gila, menggerebeg",
,"gereget","dongkol karena marah",
,"gerejud","menipu",
,"gerem","mengaum",
,"gerembel","kumpulan pepohonan yang lebat",
,"geremet","penasaran",
,"gerendeng","bicara pelan-pelan dengan teman bicaranya",
,"gerentes","suara hati",
,"geresel atau lekek",,
,"gerewek","menjerit (wanita)",
,"gereyek","banyak jiwanya (anaknya)",
,"gereyem","gumam",
,"gering","sakit",
,"gero","teriak, manggil",
,"geroh","tidak terurus dengan baik",
,"gerot","besar, ulung",
,"geruh","ribut, banyak cakap",
,"gerung","deru, raung (sakit)",
,"gesat-gesut","berjalan tergesa-gesa",
,"geseh","beda/berubah",
,"gesrek","beradu kulitnya/luarnya",
,"getek","geli",
,"geten","penuh perhatian",
,"geter","getar",
,"getih","darah",
,"getol","rajin",
,"getreng","suka bertengkar, hubungan tidak baik",
,"getruk","tersandung, terantuk",
,"geubis","jatuh",
,"geubra","tidur lelap/nyenyak",
,"geueuman","menyeramkan(rumah kuno)",
,"geugeumeueun","terkesima, masih degdekan",
,"geugeut","cinta, kasih sayang",
,"geuhgeuy","mentertawakan",
,"geuing","mengingatkan/membangunkan",
,"geuleuh","jijik, benci",
,"geulis","cantik",
,"geuneuk","membiru",
,"geunjleung","heboh",
,"geunyal","kenyal",
,"geura","mengerjakan dengan cepat",
,"geureuh","mencela, menghalangi maksud orang",
,"geureuha","istri",
,"geuri","mengeluh",
,"geus","sudah, telah",
,"geusan","agar",
,"geutah","..",
,"geuwat","lekas, cepat",
,"gewewek","menggigit",
,"gewewek","menggigit",
,"geye","duduk/berdiri berdekatan",
,"geyot","jalan sambil goyang pinggul",
,"giak","gembira terima ajakan",
,"gibeg","gerakkan badan bertenaga dan gesit/oleng",
,"gibleg","gumpal",
,"gibrig","gigil (orang sakit)",
,"gideug","geleng kepala",
,"gigeug","jalan seperti yang berat",
,"gigih","karon, nasi setengah matang",
,"gigir","samping",
,"gigireunna","sebelahnya",
,"gila","jijik",
,"giler","mata bergerak kekiri kekanan",
,"gilig","tetap hati, tidak ragu",
,"gilincing","tidak bawa/punya apa-apa",
,"gimbung","kerumun",
,"gimir","takut oleh seseorang",
,"ginanjar","diganjar",
,"ginding","mentereng, gaya",
,"ginggiapeun","selalu teringat kejadian yang dialami",
,"ginjel","ganjal",
,"gira-giru","terburu-buru",
,"girang","udik, hulu",
,"giras","sukar ditangkap",
,"giridig","sering didatangi orang",
,"girimis","gerimis, hujan rintik-rintik",
,"giruk","benci",
,"gisik","mengosok mata",
,"gitar","gitar",
,"giung","tidak enak karena terlalu manis",
,"giwar","melenceng",
,"goak","teriak",
,"gobrah","terlalu besar, kedodoran",
,"godeg","menggelengkan kepala",
,"godos","sepaham, sepakat",
,"goeng","berputar, pusing",
,"gog","berjongkok",
,"gogobrok","rumah",
,"gohgoy","batuk",
,"gojod","berbaring dan berselimut",
,"gok","bertemu",
,"golak","mendidih",
,"golang","putar",
,"goledag","berbaring tidak berbantal",
,"golenceng","terguling-guling",
,"golepak","jatuh terlentang",
,"goler","berbaring di tanah tanpa alas",
,"golongan","golongan",
,"golontor","mengalir besar (air)",
,"gombangan","lubang ketika kolam sedang dikuras untuk menyimpan ikan sementara",
,"gomplok","lebat (daun, rambut)",
,"gondeng","mendampingi",
,"gonjak","goda dengan kata yang lucu",
,"gorah","lama serta ramai",
,"gorehel","menemukan barang kecil yang dicari",
,"gorejag","tidak sulit bangun subuh",
,"goreng","buruk, jelek, menggoreng",
,"gorenyang","rebutan",
,"gorolang","cepat dan lancar(membaca)",
,"gorolong","gelinding",
,"gorowok","teriak",
,"gorowong","lubang besar",
,"guam","keinginan, inisiatif",
,"guar","membuka barang yang dibungkus",
,"gubrag","mernjatuhkan , melahirkan",
,"gubragna","jatuhnya",
,"gubug","bawa",
,"gudag","berkobar-kobar (api)",
,"gudar-gedor","menjual barang selakunya sebab butuh uang",
,"gudawang","luka yang besar dan menganga",
,"gugah","bangun tidur",
,"gugon","teguh pendirian, adat",
,"gugu","menurut",
,"gugur","guruh, gugur",
,"gugurah","kumur",
,"gugus","aus, rusak sedikit",
,"guguyon","lelucon",
,"guher","tidur nyenyak",
,"gujeg","mengajak, menyuruh",
,"gujrud","heboh, gempar, ramai",
,"gulawing","berayun",
,"gulet","akrab, intim",
,"gulidag","mengalir besar (air sungai)",
,"guligah","resah, gelisah",
,"guliksek","mendesak agar orang membuka rahasianya",
,"gulubur","bagus dipandang",
,"guludug","halilintar",
,"guluyur","lancar , enak bahasanya",
,"gumading","seperti warna gading",
,"gumantung","tergantung",
,"gumasep",,
,"gumbira","senang hati, gembira",
,"gumede","seakan-akan besar",
,"gumelo","seperti gila",
,"gumeulis","seakan-akan cantik",
,"gumujeng","tertawa, tersenyum",
,"gunana","gunanya",
,"gundam","ngigau",
,"gunduk","tumpuk, kumpul",
,"gunem","percakapan, pembicaraan",
,"guntreng","berbicara berduaan",
,"guntur","banjir, guruh",
,"gunung","gunung",
,"gupay","melambai-lambaikan tangan",
,"gupitan","jalan sempit antara dua bukit atau dua lembah",
,"gupuy-gapay","meraba-raba mencari sesuatu",
,"gurat","garis",
,"gurawes","terjal",
,"gurawit","jatuh dari tempat tinggi",
,"gurinjal","gelinjang",
,"gurubug","kaget, terkejut",
,"guruh","halilintar",
,"gurumut","kerumun",
,"gurunggusuh","tidak tertib, tergesa-gesa",
,"gusruk","menggosok-gosok",
,"gutrut","menulis",
,"guyah","membangunkan sambil menggerakkkan badannya",
,"guyang","mandi di kubangan",
,"guyub","akur, sepaham, kompak",
,"guyur","heboh, gempar, ramai",
,"haat","baik hati/budi",
,"habek atau bek",,
,"haben","terus menerus",
,"hade","bagus benar, akur",
,"haeut","percepat (pekerjaan)",
,"hagal","dengan sengaja",
,"haget","langsung mau",
,"hahah","tertawa keras",
,"hahaok","membentak-bentak",
,"hahehoh","suara nafas yang capek",
,"haja","sengaja",
,"hakan","makan",
,"hak-hak","hak-hak",
,"halabhab","haus, dahaga",
,"haleuang","suara orang nyanyi",
,"haleungheum","mendung",
,"halimpu","merdu",
,"halis","alis",
,"halodo","kemarau, tidak hujan",
,"haloghok","tinggi besar (bongsor)",
,"halu","alu",
,"hambur","boros",
,"hamham","ragu-ragu",
,"hampang","ringan",
,"hampas","ampas",
,"hamperu","empedu",
,"hampos","banyak mengandung udara dalamnya",
,"hampura","maaf",
,"hana","sengaja melakukan perkara",
,"hanaang","haus, dahaga",
,"hanca","pekerjaan yang ditunda",
,"hancengan","makanan/pekerjaan disiapkan untuk orang lain",
,"handap","bawah, rendah",
,"handapeun","ada dikolong ......",
,"handeueul","menyesal, kecewa",
,"haneut","hangat",
,"hangit","bau rambut/kain terbakar",
,"hangkeut","sudah dekat pada waktunya",
,"hangru","bau amis",
,"hangseur","pesing",
,"hanjakal","menyesal",
,"hanjelu","sedih",
,"hanjeluna","kecewanya",
,"hanju","sekarat terakhir",
,"hanteu","tidak",
,"hanyir","amis (ikan)",
,"haok","bentak, hardik",
,"hapa","kosong, mandul, gabuk",
,"hapeuk","bau apek",
,"hapit","apit",
,"hapunten","maaf",
,"hara-haraeun","membuat orang sedang jalan terhalang",
,"hareeng","panas karena sakit (badan anak)",
,"haregung","merintih agak keras karena sakit",
,"hare-hare","masin-masing",
,"harempoy","datang dengan badan lemah",
,"harendeg","kaget bercampur kacewa",
,"harengheng","genting, menimbulkan rasa khawatir",
,"harep","harap, menginginkan",
,"hareudang","gerah",
,"hareugeueun","tidak bisa berbuat apa-apa",
,"hareup","depan, muka",
,"hareupeunana","depannya",
,"harewos","bisik",
,"harga","harga",
,"harib-harib","hampir mirip/serupa",
,"harigu","dada",
,"haripeut","cepat-cepat menerima pemberian orang lain",
,"hariring","senandung",
,"harita","waktu itu",
,"hariwang","kuatir",
,"hariweusweus","berkata gugup karena kaget",
,"haropak","pucat pasi (sakit)",
,"haroshos","hampir tak kedengaran",
,"harti","arti, mengerti",
,"hartina","berarti",
,"hartos","mengerti",
,"hartosna","berarti",
,"haru","usil,mengganggu",
,"harudum","menutupi dengan sarung",
,"harus","nyaring (bunyi)",
,"haseum","masam, basi",
,"haseup","asap",
,"hasiatna","khasiatnya",
,"hasil","hasil",
,"hasilna","hasilnya",
,"hasudan","hasutan",
,"hate","hati",
,"hatena","hatinya",
,"hateup","atap",
,"hawar-hawar","sayup-sayup",
,"hawati","kuatir, kasihan",
,"hawatos","khawatir",
,"hawek","tamak loba",
,"hayang","mau, ingin",
,"hayangeun","ingin",
,"hayu","mengajak",
,"heab","gelombang udara panas",
,"hees","tidur",
,"hegak","bernafas tersengal-sengal",
,"hegar","gembira",
,"hehes","tertawa ditahan",
,"hejo","hijau",
,"hekok","diam saja di rumah/kamar",
